Sense of Place,Housing Tenure,Housing Tenure,Housing Tenure,Housing Tenure
Occupied Units,Owner Occupied Units,Owner Occupied Units,Renter Occupied Units,Renter Occupied Units
Gulf of America,Louisiana,Texas,Louisiana,Texas
2010,1120015,5537188,521150,3002018
2011,1136619,5586467,538478,3081340
2012,1142965,5609007,553534,3173591
2013,1143500,5623552,564352,3262919
2014,1139756,5652542,579120,3361040
2015,1136709,5693770,591210,3455426
2016,1132785,5747458,598613,3542096
2017,1137462,5851046,600183,3579373
2018,1133084,5917771,602937,3635275
2019,1141205,6004802,598292,3686845
2020,1167628,6168808,584328,3737262
2021,1165858,6391061,582830,3848280
2022,1185633,6545727,579631,3944826
2023,1200407,6723729,582761,4023511
