Recreational Fishing,Recreational Landings,Recreational Landings
Weight,Pounds,Metric Tons
Gulf of Mexico,Gulf of Mexico,Gulf of Mexico
1981,158126190,71726
1982,201002937,91174
1983,196530469,89146
1984,228650173,103715
1985,151857558,68882
1986,196786439,89262
1987,158472448,71883
1988,54985533,24941
1989,182348185,82713
1990,163296835,74071
1991,215037615,97540
1992,154439900,70053
1993,176646491,80126
1994,151803640,68858
1995,165857759,75233
1996,157625100,71498
1997,180083320,81685
1998,161970102,73469
1999,188029183,85289
2000,181865048,82493
2001,190164205,86258
2002,175740875,79716
2003,171698547,77882
2004,178682719,81050
2005,138882599,62997
2006,136590199,61957
2007,135171458,61313
2008,151955724,68927
2009,146975954,66668
2010,154571018,70113
2011,172899731,78427
2012,187025746,84834
2013,206068965,93472
2014,114064337,51739
2015,122233847,55445
2016,122480772,55557
2017,132545635,60122
2018,108854757,49376
2019,105084987,47666
2020,94844497,43021
2021,87878600,39861
2022,108523176,49226
2023,97832756,44377
,,
